"Metric","Cluster_mean_k_2","Cluster_mean_k_3"
"ANOnto","1, 1","0.699166666666667, 0.941071428571429, 0.809166666666667"
"APWND","",""
"APWNN","",""
"APWNS","",""
"AROnto","0.981746031746032, 0.925","0.55, 0.834920634920635, 0.691666666666667"
"CBOOnto","0.935218253968254, 0.829166666666667","0.65, 0.575, 0.89547619047619"
"CROnto","0.6, 0.920694444444444","0.65, 0.76202380952381, 0.562619047619048"
"CWND","1, 1","0.716666666666667, 0.941071428571429, 0.77"
"CWNN","1, 1","0.7, 1, 0.9"
"CWNS","",""
"DITOnto","0.988888888888889, 0.95",""
"DxC","1, 1","0.76, 0.97202380952381, 0.948333333333333"
"DxP","0.972718253968254, 0.9375","0.875, 0.965178571428571, 0.882142857142857"
"INROnto","0.9875, 0.983333333333333","0.713095238095238, 0.866666666666667, 0.923571428571429"
"LCOMOnto","0.988888888888889, 0.95",""
"LRClassPCT","0.967516233766234, 0.8",""
"LRsxC","0.921008297258297, 0.666666666666667",""
"NACOnto","0.985416666666667, 0.9",""
"NLR","1, 1",""
"NLRC","1, 1",""
"NOCOnto","0.895833333333333, 0.961130952380952","0.793452380952381, 0.966964285714286, 0.858333333333333"
"NOMOnto","0.958630952380952, 0.9","0.675, 0.967857142857143, 0.808333333333333"
"NxC","1, 1","0.7, 1, 0.9"
"NxP","0.966190476190476, 0.941666666666667","0.958333333333333, 1, 0.9"
"POnto","0.988888888888889, 0.95",""
"PROnto","1, 1","0.95, 1, 0.85"
"RFCOnto","0.933035714285714, 0.864166666666667","0.8625, 0.6, 0.958333333333333"
"RROnto","1, 1","0.95, 1, 0.85"
"SxAP","",""
"SxC","",""
"SxP","",""
"TMOnto","0.934204545454545, 0.45",""
"TMOnto2","1, 1",""
"WMCOnto","0.994444444444444, 0.95",""
"WMCOnto2","1, 1",""
