"Metric","Cluster_partition_k_2","Cluster_partition_k_3"
"ANOnto","1, 2, 2, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1","2, 3, 1, 2, 2, 2, 3, 2, 1, 2, 2, 3, 2, 2"
"APWND","",""
"APWNN","",""
"APWNS","",""
"AROnto","1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1","2, 1, 2, 2, 2, 2, 3, 2, 2, 2, 2, 3, 2, 2"
"CBOOnto","1, 1, 1, 2, 1, 2, 2, 1, 2, 1, 2, 1, 1, 1","3, 3, 3, 1, 3, 1, 1, 3, 2, 3, 1, 3, 3, 3"
"CROnto","2, 2, 2, 2, 2, 1, 2, 2, 2, 2, 2, 2, 2, 2","3, 2, 2, 3, 2, 1, 2, 3, 2, 3, 2, 2, 3, 2"
"CWND","1, 2, 2, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1","2, 3, 1, 2, 2, 2, 3, 2, 1, 2, 2, 3, 2, 2"
"CWNN","1, 2, 2, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1","2, 3, 3, 2, 2, 2, 1, 2, 3, 2, 1, 3, 2, 2"
"CWNS","",""
"DITOnto","1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1",""
"DxC","1, 2, 2, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1","2, 3, 1, 2, 2, 2, 3, 2, 3, 2, 2, 3, 2, 2"
"DxP","1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 1, 2, 1, 1","2, 3, 1, 2, 2, 2, 1, 2, 2, 2, 2, 3, 2, 2"
"INROnto","1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1","3, 2, 1, 1, 3, 3, 2, 3, 1, 3, 2, 2, 3, 3"
"LCOMOnto","1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1",""
"LRClassPCT","1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",""
"LRsxC","1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",""
"NACOnto","1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1",""
"NLR","1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1",""
"NLRC","2, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 1, 2, 2",""
"NOCOnto","2, 2, 1, 1, 2, 2, 1, 2, 1, 2, 2, 2, 2, 2","2, 1, 3, 1, 2, 1, 3, 2, 3, 2, 2, 2, 2, 2"
"NOMOnto","1, 2, 2, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1","2, 3, 3, 2, 2, 2, 1, 2, 3, 2, 1, 3, 2, 2"
"NxC","1, 2, 2, 1, 1, 1, 2, 1, 2, 1, 1, 2, 1, 1","2, 3, 3, 2, 2, 2, 1, 2, 3, 2, 1, 3, 2, 2"
"NxP","1, 2, 2, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1","2, 1, 1, 2, 2, 2, 1, 2, 3, 2, 3, 1, 2, 2"
"POnto","1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1",""
"PROnto","1, 2, 2, 1, 1, 1, 2, 1, 2, 1, 2, 2, 1, 1","2, 1, 1, 2, 2, 2, 1, 2, 1, 2, 1, 3, 2, 2"
"RFCOnto","1, 2, 2, 1, 1, 1, 2, 1, 2, 1, 2, 1, 1, 1","3, 1, 1, 3, 3, 3, 2, 3, 1, 3, 2, 1, 3, 3"
"RROnto","1, 2, 2, 1, 1, 1, 2, 1, 2, 1, 2, 2, 1, 1","2, 1, 1, 2, 2, 2, 1, 2, 1, 2, 1, 3, 2, 2"
"SxAP","",""
"SxC","",""
"SxP","",""
"TMOnto","1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1",""
"TMOnto2","1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1, 1",""
"WMCOnto","1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1",""
"WMCOnto2","1, 2, 1, 1, 1, 1, 2, 1, 1, 1, 2, 2, 1, 1",""
