"Metric","Cluster_tot.withinss_k_2","Cluster_tot.withinss_k_3"
"ANOnto","0.438347608054409","0.205527675390376"
"APWND","",""
"APWNN","",""
"APWNS","",""
"AROnto","449.327456603685","234.493119694869"
"CBOOnto","2.92544078124422","1.04214583449297"
"CROnto","13167.6872478897","5484.42580900459"
"CWND","0.202034642295511","0.0723584297876047"
"CWNN","0.216911601356811","0.0436519889954325"
"CWNS","",""
"DITOnto","14.9166666666667",""
"DxC","0.516468908823668","0.108378256614283"
"DxP","0.896252214263569","0.150352168873066"
"INROnto","0.0645284135428636","0.0253053134250471"
"LCOMOnto","3.60316656534542",""
"LRClassPCT","9.77855679961543e-05",""
"LRsxC","0.00118882844488357",""
"NACOnto","0.00969866223854545",""
"NLR","1.41666666666667",""
"NLRC","0.666666666666667",""
"NOCOnto","5.56680527507885","2.128658746972"
"NOMOnto","47.4394243537756","13.8249495362412"
"NxC","0.222669942373924","0.04327881524267"
"NxP","0.258152501614936","0.0371460034099525"
"POnto","0.259748474002354",""
"PROnto","0.0261273799768934","0.00570522372886"
"RFCOnto","51.0045423978998","11.3880995334358"
"RROnto","0.0261273784706061","0.00570522274439208"
"SxAP","",""
"SxC","",""
"SxP","",""
"TMOnto","0.0091990209644208",""
"TMOnto2","0.00666666666666668",""
"WMCOnto","9.31333685084075",""
"WMCOnto2","0.038590531321",""
