"Metric","Cluster_totss_k_2","Cluster_totss_k_3"
"ANOnto","5.51310878330838","5.51310878330838"
"APWND","",""
"APWNN","",""
"APWNS","",""
"AROnto","3489.98769458279","3489.98769458279"
"CBOOnto","12.9916258494234","12.9916258494234"
"CROnto","1884118.31603753","1884118.31603753"
"CWND","1.95870577672929","1.95870577672929"
"CWNN","2.64822764034337","2.64822764034337"
"CWNS","",""
"DITOnto","1724.92857142857",""
"DxC","4.01783142880073","4.01783142880073"
"DxP","4.74600525156725","4.74600525156725"
"INROnto","0.498779082788132","0.498779082788132"
"LCOMOnto","44.6971536546697",""
"LRClassPCT","0.00469003005016614",""
"LRsxC","0.00540272716877655",""
"NACOnto","0.108191722676857",""
"NLR","51.7142857142857",""
"NLRC","4.85714285714286",""
"NOCOnto","35.2695257821437","35.2695257821437"
"NOMOnto","213.779955797626","213.779955797626"
"NxC","2.69213073458445","2.69213073458445"
"NxP","1.89638788737551","1.89638788737551"
"POnto","1.7671673730889",""
"PROnto","2.46486330145127","2.46486330145127"
"RFCOnto","234.637816158476","234.637816158476"
"RROnto","2.4648632903063","2.4648632903063"
"SxAP","",""
"SxC","",""
"SxP","",""
"TMOnto","0.0625289068585079",""
"TMOnto2","9.75214285714286",""
"WMCOnto","88.1728113013237",""
"WMCOnto2","0.380959584841714",""
