"Description","ANOnto","APWND","APWNN","APWNS","AROnto","CBOOnto","CROnto","CWND","CWNN","CWNS","DITOnto","DxC","DxP","INROnto","LCOMOnto","LRClassPCT","LRsxC","NACOnto","NLR","NLRC","NOCOnto","NOMOnto","NxC","NxP","POnto","PROnto","RFCOnto","RROnto","SxAP","SxC","SxP","TMOnto","TMOnto2","WMCOnto","WMCOnto2"
"BFO",0.972973,1,1,1,11.21622,1,0,0,0,0.8888889,7,1,0.754717,0.972973,5.05,0.08333333,0.1944444,1,7,3,2.117647,5.675676,1,0.754717,0.9459459,0.8536585,6.648649,0.1463415,0,0.1111111,0.09433962,0,0,5.05,1
"CCO",1.077574,1,0.4042553,1,47.20028,1.004234,0.2454161,0.8941426,0,0.9971771,13,0.1107975,0.152648,1.003526,7.606621,0.0007057163,0.002117149,1.00297,3,1,3.487745,1.00141,1.008469,0.953271,0.9985896,0.4994724,2.004937,0.5005276,0,0.002822865,0.01557632,0,0,7.734653,1.016832
"DEMO",0.4666667,1,1,1,37.43333,1.034247,0.74,0.5234899,0.9932886,1,11,0.4765101,0,1.006667,3.650602,0,0,1.024691,0,0,2.188406,4.193333,0.006711409,0,0.9666667,0.8064103,5.2,0.1935897,0,0,0,0,0,3.740741,1.024691
"IAO",1.060606,0.4861111,0.4027778,1,26.13258,1.007634,0.07575758,0.1417004,0.004048583,0.7327935,12,0.9311741,0.7642276,1,6.071066,0.004048583,0.008097166,1.005102,2,1,3.882353,1.280303,0.9959514,0.7560976,0.9962121,0.5614618,2.280303,0.4385382,0,0.7327935,0.2682927,0.003802281,2,6.102041,1.005102
"IMAMO",0.04587156,1,1,1,7.018349,1.5,0.02752294,1,0.9907407,1,5,0,0,0.9908257,2.190476,0,0,1,0,0,4.32,0.266055,0.0462963,0,0.6513761,0.2116788,1.256881,0.7883212,0,0,0,0,0,2.190476,1
"IOF-AV",0.5,0.06382979,0.04255319,1,0,1,1,0,0,1,2,1,0.9565217,0.5,1,0,0,1,0,0,1,0,1,0.9361702,0,0,0.5,1,0,0,0,0,0,1,1
"IOF-CORE",0.6545455,0,0,1,41.89091,1.009174,0,0.7826087,0,0.9565217,10,0.2173913,0.5,1,5.724638,0,0.0326087,1.014706,3,0,2.619048,4.081818,1.217391,1.27451,0.6636364,0.80322,5.081818,0.19678,0,0.04347826,0.01960784,0,0,5.808824,1.014706
"IOF-MAINTENANCE",0.1472868,0,0,1,40.44961,1,0,0.8666667,0,0.9333333,7,0.1333333,0.8108108,1,5.306452,0,0.1666667,1.0125,5,0,2.632653,0.255814,1.133333,1.081081,0.1472868,0.2037037,1.255814,0.7962963,0,0.06666667,0.02702703,0,0,4.1125,0.775
"REQSPECONTO",0.6770833,0.3333333,1,1,12.54167,1.054945,0.25,0.3578947,0.9578947,1,9,0.6421053,0.1296296,1,5.173333,0,0,1,0,0,3.555556,2.729167,0.04210526,0,0.96875,0.7318436,3.729167,0.2681564,0,0,0,0.02105263,2,5.623188,1.086957
"SAREF",1.707317,1,1,1,14.12195,1.173913,0.1219512,0,0,1,5,1,0.7222222,0.9878049,2.265625,0.03703704,0.03703704,1,3,3,4.5,2.329268,1,0.7222222,0.8292683,0.7022059,3.317073,0.2977941,0,0,0,0,0,2.265625,1
"SAREF4INMA",1.857143,1,1,1,35,1.590909,0,0.02941176,0.02941176,1,4,0.9705882,0.6603774,1,2.363636,0.08823529,0.1176471,1,4,3,2.5,3.371429,0.9705882,0.6603774,0.6857143,0.7712418,4.371429,0.2287582,0,0,0,0.08823529,2,2.47619,1.047619
"SSN",0.5217391,1,1,1,36.34783,2.875,0.04347826,0.0952381,0.0952381,1,3,1.952381,1.384615,1,1.368421,0,0,1.055556,0,0,4.6,4.956522,0.9047619,0.6923077,0.3043478,0.8321168,5.956522,0.1678832,0,0,0,0.04545455,2,1.444444,1.055556
"VAR",0,1,1,1,203.4231,1.529412,0.1442308,1,1,1,5,0,0,1,1.988095,0,0,1.012048,0,0,4.952381,7.721154,0,0,0.6346154,0.8853363,8.721154,0.1146637,0,0,0,0.009708738,2,2.012048,1.012048
"Z-BRE4K",0.9821429,1,1,1,1.428571,1.057692,0,1,0,1,6,0,0,0.9821429,4.290323,0,0,1,0,0,2.2,5.196429,1,0,0.9107143,0.8410405,6.178571,0.1589595,0,0,0,0,0,4.290323,1
