"Metric","Cluster_1_SilScore","Cluster_2_SilScore","Avg_Silhouette_Width","Cluster_1_Size","Cluster_2_Size"
"ANOnto","0.579053653179888","0.873597278073171","0.621131313878928","12","2"
"APWND","0.635689424883134","1","0.869889080315405","5","9"
"APWNN","0.676834121916837","1","0.884583614970299","5","9"
"AROnto","0.889952960130437","0","0.826384891549691","13","1"
"CBOOnto","0.935100312083983","0.095600904068026","0.695243338365138","10","4"
"CROnto","0.86175800009257","0.66365991299479","0.833458273364316","12","2"
"CWND","0.796952493198761","0.706469756379979","0.75171112478937","7","7"
"CWNN","0.974469428938777","0.977766146923235","0.975411348362907","10","4"
"CWNS","0","0.857367819570096","0.796127261029375","1","13"
"DITOnto","0.651890432098765","0.649946622801466","0.651196214492587","9","5"
"DxC","0.768558673524377","0.574975992544631","0.671767333034504","7","7"
"DxP","0.89619099710563","0.622496870183116","0.739794353149907","6","8"
"INROnto","0","0.979886629233039","0.909894727144965","1","13"
"LCOMOnto","0.68044429086246","0.645741825485091","0.663093058173776","7","7"
"LRClassPCT","0.893365215110515","0.940386269348543","0.90008250857309","12","2"
"LRsxC","0.91131476436008","0.636629604093889","0.852453658588753","11","3"
"NACOnto","0.813946737594421","0","0.755807684909105","13","1"
"NLR","0.824615384615385","0.536123811211531","0.700976138870876","8","6"
"NLRC","0.863636363636364","1","0.892857142857143","11","3"
"NOCOnto","0.714344560888924","0.632318803320932","0.673331682104928","7","7"
"NOMOnto","0.626068597607999","0.554379371930822","0.59022398476941","7","7"
"NxC","0.970929997177485","0.912700622543174","0.929337586724406","4","10"
"NxP","1","0.729037650657544","0.82580991827985","5","9"
"POnto","0.694098813601241","0.726079117060765","0.719226194890867","3","11"
"PROnto","0.776369891754165","0.744418194874086","0.751264987062674","3","11"
"RFCOnto","0.595889730368979","0.566214904539371","0.581052317454175","7","7"
"RROnto","0.744418194874086","0.776369891754165","0.751264987062674","11","3"
"SxC","0.955782658137888","0","0.887512468270896","13","1"
"SxP","0.905441689182863","0","0.840767282812659","13","1"
"TMOnto","0.907900635902197","0.246981790242701","0.81348365795084","12","2"
"TMOnto2","1","1","1","9","5"
"WMCOnto","0.806027917254338","0.500488441885496","0.631433931329286","6","8"
"WMCOnto2","0","0.888118932091986","0.824681865513987","1","13"
