"Metric","Cluster_1_SilScore","Cluster_2_SilScore","Cluster_3_SilScore","Avg_Silhouette_Width","Cluster_1_Size","Cluster_2_Size","Cluster_3_Size"
"ANOnto","0.857340632917676","0.480373380414143","0.851443878550889","0.614162148541578","3","9","2"
"APWND","0.886558495111705","0.590872578362651","1","0.917244331575744","3","2","9"
"APWNN","0.925552096474179","0.996205026204475","1","0.983504738702249","3","2","9"
"AROnto","0.756565819103792","0.716107203052569","0","0.68229609542791","6","7","1"
"CBOOnto","0.887288203980917","0.880729006979519","0","0.822504932910552","10","3","1"
"CROnto","0.805226366716859","0.458146167975763","0.602891513809519","0.677155616661212","8","4","2"
"CWND","0.814478855938811","0.529114894366567","0.762126061717489","0.751275663905067","6","2","6"
"CWNN","0.973698141185347","0","0.833269584642098","0.87405644041284","10","1","3"
"CWNS","0","0.312065690587268","0.992192556604238","0.775580188414584","1","3","10"
"DITOnto","0.479190885840502","0.577777777777778","0.573516548411641","0.555130147589027","3","6","5"
"DxC","0.712970431454754","0.795833478526142","0","0.697556706524295","7","6","1"
"DxP","0.883322175878194","0.686285920169756","0","0.721709606889818","6","7","1"
"INROnto","0","0.386948946316634","0.891154253587662","0.683441719111107","1","4","9"
"LCOMOnto","0.712513126661339","0.433212428952598","0.595648964643681","0.554330796470817","2","5","7"
"LRClassPCT","0.976109044051503","0","0.8991864854134","0.895398032528095","11","1","2"
"LRsxC","0.87268874643199","0","0.535816655590621","0.762229251566652","11","1","2"
"NACOnto","0.878156925458709","0.564076905108088","0","0.725694282111481","9","4","1"
"NLR","1","0.65","0.25","0.767857142857143","7","5","2"
"NLRC","1","1","1","1","9","2","3"
"NOCOnto","0","0.791250151616452","0.583658652641038","0.630936534156141","1","6","7"
"NOMOnto","0.745791954384433","0.469553134907925","0.406894156456808","0.550307290877788","5","5","4"
"NxC","0.969777766484361","0.845697215118688","0.535880220420706","0.836889230552026","4","8","2"
"NxP","1","0.852789597412671","0.410843820002259","0.779094519076599","5","5","4"
"POnto","0.289144743677623","0","0.630437901084433","0.536650457091715","2","1","11"
"PROnto","0.646686262061335","0.769570028713203","0.716856725016657","0.709350669197166","3","2","9"
"RFCOnto","0.68567435288794","0.474087387475789","0.406639816967933","0.530383426406455","5","5","4"
"RROnto","0.716856725016657","0.769570028713203","0.646686262061335","0.709350669197166","9","2","3"
"SxC","0.992192652849271","0.312064979947652","0","0.775580104881119","10","3","1"
"SxP","0.891515577172814","0","0","0.76415620900527","12","1","1"
"TMOnto","0.918352494954391","0.121007332552961","0","0.738849436400301","11","2","1"
"WMCOnto","0.721610316689537","0.584057102686945","0.444109903757541","0.603023566136798","6","4","4"
"WMCOnto2","0","0.804188898465801","0.520345038583939","0.685923150029274","1","10","3"
