"Metric","Cluster_anova_k_2","Cluster_anova_k_3"
"ANOnto","48.5332761996076","105.670841069374"
"APWND","367.888518751218","2624.67437256931"
"APWNN","399.157280856518","31736.6168235349"
"APWNS","",""
"AROnto","294.476853445593","1209.53412154285"
"CBOOnto","48.6262134572523","1755.20293854513"
"CROnto","270.739298032107","351.068912915043"
"CWND","248.169755157579","506.566340601042"
"CWNN","9533.26587193339","5186.40808766471"
"CWNS","129.145304961013","475.887298125023"
"DITOnto","120.445222007722","129.357850070721"
"DxC","85.6105369409345","229.245695710465"
"DxP","132.488474668542","268.164014274815"
"INROnto","6861.1891355449","15919.6536161619"
"LCOMOnto","129.71504173701","85.9034084934615"
"LRClassPCT","305.306025217936",""
"LRsxC","364.662883394982","396.907777906535"
"NACOnto","100.440101975677","356.141237575887"
"NLR","106.263848396501","259.714285714286"
"NLRC","377.535714285715",""
"NOCOnto","123.932356086786","118.202735192141"
"NOMOnto","93.3614724855372","117.891842992916"
"NxC","1317.73942069792","3463.11221663546"
"NxP","234.035430694999","539.491640521484"
"POnto","133.647502515059","76.644911358477"
"PROnto","163.316808303204","276.633873140514"
"RFCOnto","90.5724133879031","111.338605815959"
"RROnto","163.316808303204","276.633873140514"
"SxAP","",""
"SxC","1058.25961295062","3294.46274327238"
"SxP","240.333807053478","1055.98733524564"
"TMOnto","169.261518186572","327.986893142315"
"TMOnto2","Inf",""
"WMCOnto","97.890227283323","145.316376958185"
"WMCOnto2","208.185409878564","628.145380604331"
