"Metric","Cluster_centers_k_2","Cluster_centers_k_3"
"ANOnto","0.592207405, 1.78223","0.768147833333333, 1.78223, 0.06438612"
"APWND","0.176654838, 1","0.4097222, 1, 0.0212765966666667"
"APWNN","0.169917258, 1","0.40351655, 1, 0.0141843966666667"
"APWNS","",""
"AROnto","23.9062538461538, 203.4231","7.72112666666667, 37.77922, 203.4231"
"CBOOnto","1.0341839, 1.87383025","1.0341839, 2.875, 1.540107"
"CROnto","0.87, 0.0756964066666667","0.87, 0.0183448475, 0.190399525"
"CWND","0.0891778514285714, 0.866701128571428","0.04439171, 0.4406923, 0.923903"
"CWNN","0.0128698443, 0.985481","0.9578947, 0.0128698443, 0.994676433333333"
"CWNS","0.982763153846154, 0.7327935","0.99971771, 0.7327935, 0.926247966666667"
"DITOnto","4.88888888888889, 11","3, 5.83333333333333, 11"
"DxC","1.07089265714286, 0.1340046","1.952381, 0.923977933333333, 0.1340046"
"DxP","0.8191864625, 0.0470462666666667","1.384615, 0.0470462666666667, 0.738410957142857"
"INROnto","0.5, 0.995687653846154","1.00113255555556, 0.5, 0.983436625"
"LCOMOnto","2.11812214285714, 5.60320471428571","1.1842105, 2.4916868, 5.60320471428571"
"LRClassPCT","0.00348261160833333, 0.08578431",""
"LRsxC","0.007260005, 0.159586066666667","0.007260005, 0.1176471, 0.18055555"
"NACOnto","1.055556, 1.00553976923077","1.01598625, 1.00089688888889, 1.055556"
"NLR","0.25, 4.16666666666667","0, 3, 6"
"NLRC","0.181818181818182, 3",""
"NOCOnto","2.17967914285714, 4.18543357142857","1, 2.37629233333333, 4.18543357142857"
"NOMOnto","1.12314528571429, 5.02805157142857","0.5607164, 5.88744525, 3.341003"
"NxC","1.02304945, 0.02377824225","0.9849713125, 0.02377824225, 1.175362"
"NxP","0.870083788888889, 0","0.71714438, 0, 1.06125805"
"POnto","0.150544866666667, 0.841044463636364","0.0736434, 0.841044463636364, 0.3043478"
"PROnto","0.138460833333333, 0.753455263636364","0.138460833333333, 0.803008188888889, 0.5304671"
"RFCOnto","2.04916785714286, 6.02259185714286","1.459587, 6.876224, 4.3398974"
"RROnto","0.861539166666667, 0.246544736363636","0.861539166666667, 0.196991811111111, 0.4695329"
"SxAP","",""
"SxC","0.0172368380769231, 0.7327935","0.0002822865, 0.7327935, 0.07375201"
"SxP","0.01204237, 0.2682927","0.00518426583333333, 0.2682927, 0.09433962"
"TMOnto","0.00288030408333333, 0.06684492","0.03325359, 0.00122827445454545, 0.08823529"
"TMOnto2","0, 2",""
"WMCOnto","1.8981305, 5.30778375","1.8981305, 4.298391, 6.3171765"
"WMCOnto2","0.775, 1.02027007692308","1.0073379, 1.06337733333333, 0.775"
