"Metric","Cluster_totss_k_2","Cluster_totss_k_3"
"ANOnto","4.07839143017052","4.07839143017052"
"APWND","2.37441013861496","2.37441013861496"
"APWNN","2.39786664314754","2.39786664314754"
"APWNS","",""
"AROnto","33277.8439592076","33277.8439592076"
"CBOOnto","3.38130201136571","3.38130201136571"
"CROnto","1.21340546581824","1.21340546581824"
"CWND","2.39725699228707","2.39725699228707"
"CWNN","2.71213429548138","2.71213429548138"
"CWNS","0.0728476673732036","0.0728476673732036"
"DITOnto","152.928571428571","152.928571428571"
"DxC","4.25637125060565","4.25637125060565"
"DxP","2.55326079895687","2.55326079895687"
"INROnto","0.229253156011749","0.229253156011749"
"LCOMOnto","53.3250843370054","53.3250843370054"
"LRClassPCT","0.0128669365225745",""
"LRsxC","0.0596427730106281","0.0596427730106281"
"NACOnto","0.00308614592321428","0.00308614592321428"
"NLR","68.9285714285714","68.9285714285714"
"NLRC","20.3571428571429",""
"NOCOnto","17.8300003926232","17.8300003926232"
"NOMOnto","72.2331012148794","72.2331012148794"
"NxC","2.92442670075446","2.92442670075446"
"NxP","2.7764759121772","2.7764759121772"
"POnto","1.40136325276357","1.40136325276357"
"PROnto","1.07165469311193","1.07165469311193"
"RFCOnto","75.3916857422797","75.3916857422797"
"RROnto","1.07165469311193","1.07165469311193"
"SxAP","",""
"SxC","0.490274421282853","0.490274421282853"
"SxP","0.0693461999749261","0.0693461999749261"
"TMOnto","0.00838142435559674","0.00838142435559674"
"TMOnto2","12.8571428571429",""
"WMCOnto","53.2968469233604","53.2968469233604"
"WMCOnto2","0.0647150354863571","0.0647150354863571"
