"Metric","Mean_stability_k_2","Mean_stability_k_3"
"ANOnto","0.579573412698413","0.67452380952381"
"APWND","1","0.952777777777778"
"APWNN","1","0.952777777777778"
"APWNS",NA,NA
"AROnto","0.819286616161616","0.886388888888889"
"CBOOnto","0.741865079365079","0.853809523809524"
"CROnto","0.965909090909091","0.866071428571429"
"CWND","0.954166666666667","0.905555555555556"
"CWNN","1","0.844543650793651"
"CWNS","0.825069444444444","0.833035714285714"
"DITOnto","0.960714285714286","0.755674603174603"
"DxC","0.82410082972583","0.760833333333333"
"DxP","0.978095238095238","0.760833333333333"
"INROnto","0.811111111111111","0.743664021164021"
"LCOMOnto","0.954583333333333","0.585277777777778"
"LRClassPCT","0.8403363997114",NA
"LRsxC","1","0.700833333333333"
"NACOnto","0.835416666666667","0.864166666666667"
"NLR","0.893125","0.943333333333333"
"NLRC","0.91889880952381",NA
"NOCOnto","0.960833333333333","0.686468253968254"
"NOMOnto","0.936369047619048","0.841111111111111"
"NxC","1","0.828888888888889"
"NxP","0.9675","0.906111111111111"
"POnto","0.893125","0.573253968253968"
"PROnto","0.915982142857143","0.911111111111111"
"RFCOnto","0.927797619047619","0.803888888888889"
"RROnto","0.915982142857143","0.911111111111111"
"SxAP",NA,NA
"SxC","0.825069444444444","0.833035714285714"
"SxP","0.827291666666667","0.633928571428571"
"TMOnto","0.845763888888889","0.756415343915344"
"TMOnto2","1",NA
"WMCOnto","0.908630952380952","0.796666666666667"
"WMCOnto2","0.843655303030303","0.844543650793651"
