"Metric","AgroPortal","BioPortal","BiodivPortal","EarthPortal","EcoPortal","IndustryPortal"
"ANOnto",4,3,3,NA,2,4
"APWND",2,2,3,NA,NA,NA
"APWNN",3,6,3,NA,NA,NA
"APWNS",NA,4,NA,NA,NA,NA
"AROnto",2,2,2,2,2,2
"CBOOnto",2,2,2,2,2,3
"CROnto",2,2,2,2,2,2
"CWND",2,2,2,2,3,3
"CWNN",2,2,2,2,3,2
"CWNS",5,2,2,NA,NA,2
"DITOnto",3,2,3,NA,2,2
"DPWND",NA,NA,NA,NA,NA,NA
"DPWNN",NA,NA,NA,NA,NA,NA
"DPWNS",NA,NA,NA,NA,NA,NA
"DxAP",NA,NA,NA,NA,NA,NA
"DxC",4,2,2,2,2,2
"DxDP",NA,NA,NA,NA,NA,NA
"DxOP",NA,NA,NA,NA,NA,2
"DxP",2,2,2,2,3,3
"INROnto",2,2,2,2,2,2
"LCOMOnto",3,3,2,NA,2,2
"LRClassPCT",2,2,NA,NA,2,2
"LRsxC",2,2,2,NA,NA,2
"LSLD",NA,NA,NA,NA,NA,NA
"NACOnto",2,2,2,NA,2,2
"NLR",5,2,NA,NA,2,3
"NLRC",2,3,NA,NA,NA,NA
"NOCOnto",2,2,2,2,3,4
"NOMOnto",2,2,3,2,3,2
"NxAP",NA,NA,NA,NA,NA,NA
"NxC",3,3,3,2,3,2
"NxDP",NA,NA,NA,NA,NA,NA
"NxOP",NA,NA,NA,NA,NA,2
"NxP",4,3,2,2,3,2
"OPWND",NA,NA,NA,NA,NA,3
"OPWNN",NA,NA,NA,NA,NA,2
"OPWNS",NA,NA,NA,NA,NA,2
"POnto",2,2,2,NA,3,3
"PROnto",2,2,3,2,2,3
"RFCOnto",2,2,3,3,3,2
"RROnto",2,2,3,2,2,3
"SxAP",NA,2,NA,NA,NA,NA
"SxC",3,2,3,NA,NA,2
"SxDP",NA,NA,NA,NA,NA,NA
"SxOP",NA,NA,NA,NA,NA,2
"SxP",4,2,NA,NA,NA,2
"SYSNAM",NA,NA,NA,NA,NA,NA
"TMOnto",2,3,2,NA,2,2
"TMOnto2",2,2,2,NA,2,NA
"WMCOnto",2,2,2,NA,2,4
"WMCOnto2",3,2,2,NA,2,2
